CEPH ID,population,Geographic origin,Region,Pop7Groups,Sex,All LCLs (H1063),Unrelated (1st and 2nd degree) (H951)
HGDP00001,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00003,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00005,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00007,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00009,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00011,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00013,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00015,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00017,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00019,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00021,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00023,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00025,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00027,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00029,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00031,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00033,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00035,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00037,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00039,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00041,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00043,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00045,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00047,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00049,Brahui,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00052,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00054,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00056,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00057,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00058,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00060,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00062,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00064,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00066,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00068,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00070,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00072,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00074,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00076,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00078,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00080,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00082,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00084,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,no
HGDP00086,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00088,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00090,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00092,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00094,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00096,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00098,Balochi,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00099,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00100,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00102,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00103,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00104,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00105,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00106,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00108,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00109,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00110,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00111,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00112,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00113,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,no
HGDP00115,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00116,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00118,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00119,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00120,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00121,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00122,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00124,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00125,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00127,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00128,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,no
HGDP00129,Hazara,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00130,Makrani,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00131,Makrani,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00133,Makrani,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00134,Makrani,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00135,Makrani,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00136,Makrani,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00137,Makrani,Pakistan,Asia,Central_South_Asia,M,yes,yes
HGDP00139,Makrani,Pakistan,Asia,Central_South_Asia,M,yes,yes
